商品名稱,價格,可販售數量,最後更新日期,購買人數,最後銷售數量,最後銷售時間
萬隆達* 遊戲王 亞英 RC04-AE062 閃電風暴 (25金鑽) 搜:SD41-JP034 IGAS-JP067,649,1,,0,,
萬隆達*遊戲王 TDS1-JP030 冥王結界波 (金亮.鋼印) 搜:SD39-JP030 RC04-JP061,39111,1,2024-04-13 18:39:40,1,3,2024-04-13 18:34:38
萬隆達* 遊戲王 亞英 RC04-AE077 教導 懲戒 (金亮) 搜:ROTD-JP070,29,3,2024-03-14 17:57:32,5,3,2024-04-21 03:36:35
萬隆達* 遊戲王 亞英 RC04-AE007 聖遺物-命運之槍 (亮面)搜DUEA-JP034,15,3,2024-02-13 10:25:38,1,3,2024-02-12 18:01:32
萬隆達* 遊戲王 亞英 RC04-AE009 灰流麗 (金亮) 搜:MACR-JP036,239,6,2024-04-06 17:58:03,3,2,2024-03-04 22:26:45
萬隆達* 遊戲王 亞英 RC04-AE001 溶岩魔神 (亮面) 搜:GDB1-JP063,19,3,2024-01-21 12:08:35,5,2,2024-04-08 23:49:40
萬隆達* 遊戲王 亞英 RC04-AE069 魔導師的救助 (雕鑽) 初期傷*微白邊 搜:WPP2-JP062,49,1,2024-04-04 15:56:29,0,,
萬隆達* 遊戲王 亞英 RC04-AE006 從魔界發往現世的死亡導遊 (亮面)搜: PAC1-JP019,9,3,2024-04-06 17:51:51,0,,
萬隆達* 遊戲王 亞英 RC04-AE077 教導 懲戒 (雕鑽) 初期傷*微白邊 搜:ROTD-JP070,89,2,2024-04-04 15:51:23,0,,
萬隆達* 遊戲王 亞英 RC04-AE071 召喚限制器 (雕鑽) 初期傷*微白邊 搜:DS13-JPD38,79,1,2024-04-04 15:55:12,0,,
萬隆達* 遊戲王 亞英 RC04-AE064 三戰之才 (雕鑽) 初期傷*微白邊 搜:ROTD-JP062,129,2,2024-04-04 15:57:20,0,,
萬隆達* 遊戲王 亞英 RC04-AE015 次元吸引者 (金亮) 搜:SD44-JP012 EP19-JP066,29,3,2024-04-03 17:16:42,2,1,2024-02-24 20:49:38
萬隆達* 遊戲王 亞英 RC04-AE061 冥王結界波 (雕鑽) 初期傷*微白邊 搜:SD43-JP030,99,1,2024-04-04 15:58:11,0,,
萬隆達* 遊戲王 亞英 RC04-AE059 圓融魔術 (雕鑽) 初期傷*微白邊 搜:VB20-JP002,39,1,2024-04-07 21:20:49,0,,
萬隆達* 遊戲王 亞英 RC04-AE016 原始生命態 尼比魯 隕石 (金亮)搜:EP19-JP067,69,3,2024-04-03 17:18:22,10,2,2024-05-03 04:26:23
萬隆達* 遊戲王 亞英 RC04-AE002 孤燃花 (亮面) 搜:DBSS-JP040,10,3,2024-01-20 17:32:37,1,1,2024-02-21 11:57:40
萬隆達* 遊戲王 亞英 RC04-AE076 無限泡影 (雕鑽) 初期傷*微白邊 搜:FLOD-JP077,499,2,2024-02-23 14:57:20,0,,
萬隆達* 遊戲王 亞英 RC04-AE066 混沌領域 (雕鑽) 初期傷*微白邊 搜: WPP1-JP014,179,1,2024-01-20 16:15:36,0,,
萬隆達* 遊戲王 亞英 RC04-AE075 拮抗勝負 (雕鑽) 初期傷*微白邊 搜:CIBR-JP077,429,1,2024-01-20 16:13:07,0,,
萬隆達* 遊戲王 亞英 RC04-AE053 名推理 (雕鑽) 初期傷*微白邊 搜:SR12-JP029,69,3,2024-01-20 16:51:36,0,,
萬隆達* 遊戲王 亞英 RC04-AE065 禁忌的一滴 (雕鑽) 初期傷*微白邊 搜:ROTD-JP065,129,1,2024-04-04 16:00:11,0,,
萬隆達* 遊戲王 亞英 RC04-AE010 妖精傳姬-竹取公主 (金亮) 搜:SD39-JP013,9,3,2024-04-06 18:55:16,3,2,2024-03-04 22:08:49
萬隆達* 遊戲王 亞英 RC04-AE005 增殖的G (金亮) 搜:SD45-JP014,199,6,2024-04-03 17:26:07,4,2,2024-03-04 22:26:45
萬隆達* 遊戲王 亞英 RC04-AE008 太陽神翼神龍之球體形 (金亮) 搜:RC02-JP006,29,2,2024-04-03 17:27:55,2,1,2024-04-10 23:57:57
萬隆達* 遊戲王 亞英 RC04-AE003 效果分隔士 (亮面) 搜:DREV-JP002,49,3,2024-03-07 21:09:13,14,2,2024-04-30 16:37:45
萬隆達* 遊戲王 亞英 RC04-AE078 影依的偽典 (雕鑽) 初期傷*微白邊 搜:ROTD-JP076,99,1,2024-01-20 16:50:12,0,,
萬隆達* 遊戲王 亞英 RC04-AE019 風靈媒師 薇因 (亮面) 搜:VJMP-JP173,9,3,2024-04-06 18:00:24,0,,
萬隆達* 遊戲王 亞英 RC04-AE047 撞針龍 擊鐵龍 (雕鑽) 初期傷*微白邊 搜:VJMP-JP165,59,1,2024-04-04 16:05:12,0,,
萬隆達* 遊戲王 亞英 RC04-AE052 增援 (雕鑽) 初期傷*微白邊 搜:DBAD-JP039,69,2,2024-04-04 16:01:49,0,,
萬隆達* 遊戲王 亞英 RC04-AE004 V・HERO獨善人 (亮面) 搜:CP19-JP010,10,6,2024-01-20 21:07:02,1,3,2024-02-14 11:40:49
萬隆達* 遊戲王 亞英 RC04-AE014 未界域的鹿角兔 (亮面) 搜: EP19-JP024,10,3,2024-01-20 17:31:03,0,,
萬隆達* 遊戲王 亞英 RC04-AE079 天龍雪獄 (雕鑽) 初期傷*微白邊 搜:ROTD-JP079,99,2,2024-04-04 15:53:14,0,,
萬隆達* 遊戲王 亞英 RC04-AE057 強欲而貪欲之壺 (雕鑽) 初期傷*微白邊 搜:SD38-JP029,99,1,2024-04-04 15:59:08,0,,
萬隆達* 遊戲王 亞英 RC04-AE074 神鷹的羽毛吹雪 (半鑽) 搜:19SP-JP510 20AP-JP004,30,2,2024-01-20 20:53:41,0,,
萬隆達* 遊戲王 亞英 RC04-AE010 妖精傳姬-竹取公主 (雕鑽) 初期傷*微白邊 搜:SD39-JP013,59,2,2024-04-04 12:18:05,0,,
萬隆達* 遊戲王 亞英 RC04-AE062 閃電風暴 (半鑽) 搜:SD41-JP034 IGAS-JP067,59,1,2024-04-04 16:30:34,2,2,2024-04-14 16:03:37
萬隆達* 遊戲王 亞英 RC04-AE071 召喚限制器 (半鑽) 搜:DS13-JPD38 LODT-JP079,40,3,2024-01-20 20:51:06,0,,
萬隆達* 遊戲王 亞英 RC04-AE005 增殖的G (雕鑽) 初期傷*微白邊 搜:SD45-JP014,399,2,,0,,
萬隆達* 遊戲王 亞英 RC04-AE061 冥王結界波 (半鑽) 搜:SD43-JP030 SD39-JP030,60,3,2024-01-20 21:02:44,0,,
萬隆達* 遊戲王 亞英 RC04-AE059 圓融魔術 (半鑽) 搜:VB20-JP002,30,3,2024-01-20 21:09:14,0,,
萬隆達* 遊戲王 亞英 RC04-AE078 影依的偽典 (半鑽) 搜:ROTD-JP076,10,3,2024-01-20 20:49:47,0,,
萬隆達* 遊戲王 亞英 RC04-AE057 強欲而貪欲之壺 (半鑽)搜:SD38-JP029 SR12-JP030,49,3,2024-03-15 21:02:33,3,1,2024-03-06 15:27:40
萬隆達* 遊戲王 亞英 RC04-AE058 墓穴的指名者 (半鑽) 搜: SD43-JP029,249,3,2024-01-21 12:08:35,1,3,2024-01-20 22:42:09
萬隆達* 遊戲王 亞英 RC04-AE064 三戰之才 (半鑽) 搜:ROTD-JP062,99,2,2024-03-17 13:27:03,3,1,2024-03-29 00:07:37
萬隆達* 遊戲王 亞英 RC04-AE001 溶岩魔神 (雕鑽) 初期傷*微白邊 搜:GDB1-JP063,149,2,2024-01-20 17:51:19,0,,
萬隆達* 遊戲王 亞英 RC04-AE006 從魔界發往現世的死亡導遊 (雕鑽) 初期傷*微白邊 搜: PAC1-JP0,79,1,2024-04-04 12:10:35,0,,
萬隆達* 遊戲王 亞英 RC04-AE065 禁忌的一滴 (半鑽) 搜:ROTD-JP065,119,1,2024-04-09 21:01:53,6,1,2024-04-09 11:18:45
萬隆達* 遊戲王 亞英 RC04-AE004 V・HERO獨善人 (雕鑽) 初期傷*微白邊 搜:CP19-JP010,99,1,2024-01-20 17:54:13,0,,
萬隆達* 遊戲王 亞英 RC04-AE073 次元障壁 (半鑽) 搜: SD43-JP039 SD39-JP038,80,3,2024-01-20 20:56:59,1,3,2024-03-06 15:27:40
萬隆達* 遊戲王 亞英 RC04-AE051 心變 變心 (半鑽) 搜:BE01-JP141,79,3,2024-04-04 21:17:50,1,2,2024-01-23 16:07:01
萬隆達* 遊戲王 亞英 RC04-AE072 冰結界 (半鑽) 搜:AC01-JP013,20,3,2024-01-20 20:54:40,0,,
萬隆達* 遊戲王 亞英 RC04-AE080 鐵獸的抗戰 (半鑽) 搜:PHRA-JP070,30,3,2024-01-20 20:56:29,0,,
萬隆達* 遊戲王 亞英 RC04-AE075 拮抗勝負 (半鑽) 搜:CIBR-JP077 20TH-JPC97,100444,1,2024-04-29 13:25:55,3,3,2024-04-28 21:38:12
萬隆達* 遊戲王 亞英 RC04-AE066 混沌領域 (半鑽) 搜: WPP1-JP014,39,3,2024-04-04 16:25:48,1,2,2024-05-04 01:41:29
萬隆達* 遊戲王 亞英 RC04-AE068 小小世界 微小世界 (半鑽) 搜:BODE-JP069,80,3,2024-01-20 20:58:43,0,,
萬隆達* 遊戲王 亞英 RC04-AE067 金滿的謙虛之壺 (半鑽) 搜:BLVO-JP065,129,3,2024-03-14 20:50:03,1,1,2024-03-06 15:27:40
萬隆達* 遊戲王 亞英 RC04-AE070 強制脫出裝置 (半鑽) 搜:DBTM-JP044 SR12-JP037,30,3,2024-01-20 21:07:58,0,,
萬隆達* 遊戲王 亞英 RC04-AE009 灰流麗 (雕鑽) 初期傷*微白邊 搜:MACR-JP036,499,1,2024-02-23 14:53:49,0,,
萬隆達* 遊戲王 亞英 RC04-AE076 無限泡影 (半鑽) 初期傷*微刮 搜:FLOD-JP077,289,2,2024-02-23 14:45:41,1,3,2024-01-20 22:42:09
萬隆達* 遊戲王 亞英 RC04-AE063 天底的使徒 (半鑽) 搜:ROTD-JP052,50,3,2024-01-20 21:08:38,1,1,2024-02-27 17:55:56
萬隆達* 遊戲王 亞英 RC04-AE079 天龍雪獄 (半鑽) 搜:ROTD-JP079,19,1,2024-04-03 16:42:37,1,2,2024-03-06 15:27:40
萬隆達* 遊戲王 亞英 RC04-AE077 教導 懲戒 (半鑽) 搜:ROTD-JP070,50,3,2024-01-20 20:51:51,0,,
萬隆達* 遊戲王 亞英 RC04-AE069 魔導師的救助 (半鑽) 搜:WPP2-JP062,50,3,2024-01-20 20:59:31,0,,
萬隆達* 遊戲王 亞英 RC04-AE039 真紅眼的鋼炎龍 (亮面) 搜:CORE-JP054,10,3,2024-01-20 17:30:13,1,1,2024-02-18 09:50:28
萬隆達* 遊戲王 亞英 RC04-AE031 上古妖精龍 (金亮) 搜:ANPR-JP040,19,2,2024-02-18 19:55:38,4,1,2024-04-11 22:37:36
萬隆達* 遊戲王 亞英 RC04-AE032 虹光之宣告者 (亮面) 搜:NECH-JP052,10,3,2024-01-20 20:53:40,4,2,2024-04-24 13:40:12
萬隆達* 遊戲王 亞英 RC04-AE022 阿不思的落胤 (亮面) 搜:ROTD-JP011,10,3,2024-01-20 17:29:10,1,1,2024-04-21 20:08:51
萬隆達* 遊戲王 亞英 RC04-AE037 鬼計惰天使 (亮面) 搜:NECH-JP090,10,3,2024-01-20 17:26:23,1,3,2024-04-27 16:31:33
萬隆達* 遊戲王 亞英 RC04-AE046 代碼通訊者反相型態 (亮面) 搜:VB21-JP001,10,3,2024-01-20 17:26:00,0,,
萬隆達* 遊戲王 亞英 RC04-AE024 妖眼的相劍師 (亮面) 搜:DAMA-JP009,10,3,2024-01-20 17:28:02,1,1,2024-04-21 20:08:51
萬隆達* 遊戲王 亞英 RC04-AE013 BF 毒風的西蒙 (亮面) 搜: DP20-JP024 22TP-JP30,9,3,2024-04-06 18:03:36,0,,
萬隆達* 遊戲王 亞英 RC04-AE048 神聖魔皇后 塞勒涅 (亮面) 搜:LVP3-JP036,19,3,2024-04-03 17:01:57,15,2,2024-05-06 09:31:29
萬隆達* 遊戲王 亞英 RC04-AE011 巡查乘板手 (金亮) 搜:EXFO-JP035,29,3,2024-04-03 17:14:03,5,1,2024-03-24 20:59:15
萬隆達* 遊戲王 亞英 RC04-AE033 廢品高速者 (亮面) 搜:20TH-JPB14,10,3,2024-01-20 17:27:08,1,2,2024-01-21 21:07:43
萬隆達* 遊戲王 亞英 RC04-AE038 銀河眼FA光子龍 (亮面) 搜:VB17-JP002,10,3,2024-01-20 17:29:59,1,2,2024-02-10 13:36:07
萬隆達* 遊戲王 亞英 RC04-AE017 深淵的青眼龍 (亮面) 搜: LGB1-JP005,10,3,2024-01-20 17:32:21,1,1,2024-05-04 14:54:37
萬隆達* 遊戲王 亞英 RC04-AE049 解碼語者 火熱之魂 (亮面) 搜:LGB1-JP041,15,3,2024-02-15 19:53:56,2,1,2024-04-05 16:21:57
萬隆達* 遊戲王 亞英 RC04-AE027 舊神 努茨 (金亮) 搜:EP15-JP033,45,3,2024-02-13 19:30:01,10,1,2024-04-28 18:08:43
萬隆達* 遊戲王 亞英 RC04-AE025 電子天使-弁天- (亮面) 搜:DBGI-JP040,15,3,2024-04-14 19:46:49,1,1,2024-04-14 15:41:04
萬隆達* 遊戲王 亞英 RC04-AE026 M.HERO 闇爪 (亮面) 搜:SD27-JP044,10,3,2024-01-20 20:53:55,1,1,2024-04-06 02:35:30
萬隆達* 遊戲王 亞英 RC04-AE035 鮮花女爵 (金亮) 搜:DP25-JP023,49,1,2024-04-03 17:05:25,11,1,2024-05-06 09:31:29
萬隆達* 遊戲王 亞英 RC04-AE034 槍管裝填野性龍 (亮面) 搜:SAST-JP037,10,3,2024-01-20 20:53:35,3,1,2024-04-01 18:25:15
萬隆達* 遊戲王 亞英 RC04-AE036 掃興書呆魔術師 (金亮) 搜:LVAL-JP057,15,3,2024-04-03 17:06:58,4,1,2024-04-28 22:07:20
萬隆達* 遊戲王 亞英 RC04-AE040 No.100 源數龍 (亮面) 搜:CPF1-JP021,10,3,2024-01-20 17:27:00,0,,
萬隆達* 遊戲王 亞英 RC04-AE012 屋敷童 (亮面) 搜:SD44-JP015 PAC1-JP017,19,3,2024-03-17 13:31:36,9,3,2024-05-02 10:33:18
萬隆達* 遊戲王 亞英 RC04-AE030 神?史萊姆 (亮面) 搜:DP24-JP001,10,3,2024-01-20 17:29:18,1,1,2024-04-10 23:57:57
萬隆達* 遊戲王 亞英 RC04-AE044 夢幻界 獨角獸 (金亮) 搜: FLOD-JP047,49,3,2024-03-25 13:19:58,11,1,2024-05-01 21:10:34
萬隆達* 遊戲王 亞英 RC04-AE028 捕食植物 豹皮花龍 (亮面) 搜: VJMP-JP124,10,3,2024-01-20 20:53:46,3,1,2024-04-24 10:06:43
萬隆達* 遊戲王 亞英 RC04-AE018 銀河眼的殘光龍 (亮面) 搜:LGB1-JP029,10,3,2024-01-20 17:31:11,0,,
萬隆達* 遊戲王 亞英 RC04-AE021 教導的聖女 艾克莉西亞 (亮面) 搜:ROTD-JP005,19,2,2024-01-22 13:52:39,8,1,2024-04-28 21:38:12
萬隆達* 遊戲王 亞英 RC04-AE020 黃金卿 黃金國巫妖 (金亮) 搜:DBSS-JP027,10,3,2024-01-20 17:59:01,1,1,2024-01-25 02:55:40
萬隆達* 遊戲王 亞英 RC04-AE029 沼地泥龍王 (亮面) 搜:17PR-JP008 18PR-JP003,10,1,2024-01-20 17:28:36,10,1,2024-05-05 01:19:45
萬隆達* 遊戲王 亞英 RC04-AE059 圓融魔術 (亮面) 搜:VB20-JP002,10,3,2024-01-20 20:51:41,2,3,2024-02-28 11:38:36
萬隆達* 遊戲王 亞英 RC04-AE076 無限泡影 (金亮) 搜:FLOD-JP077,199,3,2024-04-03 12:09:25,3,3,2024-04-28 10:26:02
萬隆達* 遊戲王 亞英 RC04-AE023 獸王阿爾法 (亮面) 搜:PHRA-JP023,15,3,2024-04-03 17:09:48,3,1,2024-03-04 22:26:45
萬隆達* 遊戲王 亞英 RC04-AE067 金滿的謙虛之壺 (金亮) 搜:BLVO-JP065,59333,1,2024-05-03 19:06:55,18,1,2024-05-03 17:26:24
萬隆達* 遊戲王 亞英 RC04-AE068 小小世界 微小世界 (金亮) 搜:BODE-JP069,49,3,2024-04-21 19:00:12,5,2,2024-04-17 00:47:42
萬隆達* 遊戲王 亞英 RC04-AE057 強欲而貪欲之壺 (亮面)搜:SD38-JP029,15,2,2024-04-03 16:50:15,4,1,2024-05-06 23:45:17
萬隆達* 遊戲王 亞英 RC04-AE060 強欲而金滿之壺 (亮面) 搜:SAST-JP067,19,1,2024-04-03 16:55:09,5,3,2024-04-21 21:59:41
萬隆達* 遊戲王 亞英 RC04-AE052 增援 (亮面) 搜:DBAD-JP039,10,1,2024-01-20 20:35:55,10,1,2024-05-06 11:46:09
萬隆達* 遊戲王 亞英 RC04-AE053 名推理 (亮面) 搜:SR12-JP029,15,3,2024-01-21 12:08:35,2,3,2024-04-11 16:17:34
萬隆達* 遊戲王 亞英 RC04-AE051 心變 變心 (金亮) 搜:BE01-JP141,29,3,2024-04-03 16:52:32,3,3,2024-04-11 22:37:36
萬隆達* 遊戲王 亞英 RC04-AE058 墓穴的指名者 (金亮) 搜: SD43-JP029,99,3,2024-04-04 15:48:38,7,1,2024-04-07 05:32:21
萬隆達* 遊戲王 亞英 RC04-AE056 儀式的下準備 (金亮) 搜: SHVI-JP065,29,3,2024-02-10 12:21:14,6,1,2024-04-02 10:15:44
萬隆達* 遊戲王 亞英 RC04-AE061 冥王結界波 (亮面) 搜:SD43-JP030,35,2,2024-01-21 12:08:35,6,2,2024-05-02 15:28:39
萬隆達* 遊戲王 亞英 RC04-AE074 神鷹的羽毛吹雪 (亮面) 搜:19SP-JP510,9,3,2024-01-21 20:47:22,1,3,2024-04-09 13:27:15
萬隆達* 遊戲王 亞英 RC04-AE064 三戰之才 (金亮) 搜:ROTD-JP062,79,3,2024-04-15 20:52:20,16,1,2024-04-18 23:53:25
萬隆達* 遊戲王 亞英 RC04-AE041 宵星的機神 丁吉爾蘇 (亮面) 搜:DANE-JP038,15,3,2024-04-22 12:33:54,9,1,2024-04-22 04:24:53
萬隆達* 遊戲王 亞英 RC04-AE063 天底的使徒 (亮面) 搜:ROTD-JP052,39,3,2024-04-08 20:49:29,6,3,2024-04-21 03:36:35
萬隆達* 遊戲王 亞英 RC04-AE045 雙穹的騎士 阿斯特拉姆 (亮面) 搜:DANE-JP047,10,2,2024-04-03 16:56:50,5,1,2024-03-09 15:26:16
萬隆達* 遊戲王 亞英 RC04-AE078 影依的偽典 (亮面) 搜:ROTD-JP076,10,3,2024-01-20 20:46:52,0,,
萬隆達* 遊戲王 亞英 RC04-AE062 閃電風暴 (金亮) 搜:SD41-JP034,70,3,2024-02-14 18:36:30,2,1,2024-03-04 22:26:45
萬隆達* 遊戲王 亞英 RC04-AE054 化石調查 (亮面) 搜:21TP-JP411,10,3,2024-04-03 16:55:47,3,2,2024-03-02 18:04:16
萬隆達* 遊戲王 亞英 RC04-AE070 強制脫出裝置 (亮面) 搜:DBTM-JP044,10,3,2024-01-20 20:50:15,0,,
萬隆達* 遊戲王 亞英 RC04-AE065 禁忌的一滴 (金亮) 搜:ROTD-JP065,89,3,2024-01-21 19:04:15,9,2,2024-04-29 12:26:54
萬隆達* 遊戲王 亞英 RC04-AE050 聖魔的乙女 阿爾提密斯 (亮面) 搜:DBGI-JP008,19,3,2024-04-03 17:00:21,7,1,2024-02-25 12:50:18
萬隆達* 遊戲王 亞英 RC04-AE079 天龍雪獄 (亮面) 搜:ROTD-JP079,15,3,2024-04-03 12:12:51,3,3,2024-04-28 21:38:12
萬隆達* 遊戲王 亞英 RC04-AE069 魔導師的救助 (亮面) 搜:WPP2-JP062,19,3,2024-01-30 15:23:31,2,3,2024-01-30 13:38:44
萬隆達* 遊戲王 亞英 RC04-AE043 彼岸的黑天使 基路伯 (金亮) 搜:LVP1-JP081,9,3,2024-04-03 16:57:18,1,1,2024-04-08 23:49:40
萬隆達* 遊戲王 亞英 RC04-AE047 撞針龍 擊鐵龍 (亮面) 搜:VJMP-JP165 21PP-JP023,10,3,2024-04-03 17:00:57,8,1,2024-04-23 00:46:10
萬隆達* 遊戲王 亞英 RC04-AE066 混沌領域 (金亮) 搜: WPP1-JP014,25,3,2024-02-04 17:47:12,3,1,2024-05-06 09:31:29
萬隆達* 遊戲王 亞英 RC04-AE042 時間潛行者 錶盤修復師 (亮面) 搜:EP19-JP041,10,3,2024-04-03 17:02:39,2,1,2024-03-01 13:38:59
萬隆達* 遊戲王 亞英 RC04-AE055 魔導書的神判 審判 (亮面) 搜:LTGY-JP063,10,3,2024-01-20 20:50:33,1,1,2024-02-15 23:53:24
萬隆達* 遊戲王 亞英 RC04-AE016 原始生命態 尼比魯 隕石 (雕鑽) 初期傷*微白邊 搜:EP19-JP06,169,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE013 BF 毒風的西蒙 (雕鑽) 初期傷*微白邊 搜: DP20-JP024,69,1,2024-01-20 17:50:05,0,,
萬隆達* 遊戲王 亞英 RC04-AE034 槍管裝填野性龍 (雕鑽) 初期傷*微白邊 搜:SAST-JP037,149,1,,0,,
萬隆達* 遊戲王 亞英 RC04-AE030 神・史萊姆 (雕鑽) 初期傷*微白邊 搜:DP24-JP001,49,2,2024-01-20 17:35:26,0,,
萬隆達* 遊戲王 亞英 RC04-AE025 電子天使-弁天- (雕鑽) 初期傷*微白邊 搜:DBGI-JP040,49,1,2024-01-20 17:39:36,0,,
萬隆達* 遊戲王 亞英 RC04-AE023 獸王阿爾法 (雕鑽) 初期傷*微白邊 搜:PHRA-JP023,79,1,2024-01-20 17:36:51,0,,
萬隆達* 遊戲王 亞英 RC04-AE017 深淵的青眼龍 (雕鑽) 初期傷*微白邊 搜: LGB1-JP005,99,1,2024-01-20 17:50:23,0,,
萬隆達* 遊戲王 亞英 RC04-AE021 教導的聖女 艾克莉西亞 (雕鑽) 初期傷*微白邊 搜:ROTD-JP005,199,3,2024-01-20 17:38:54,0,,
萬隆達* 遊戲王 亞英 RC04-AE043 彼岸的黑天使 基路伯 (雕鑽) 初期傷*微白邊 搜:LVP1-JP081,39,4,2024-04-04 16:06:28,0,,
萬隆達* 遊戲王 亞英 RC04-AE045 雙穹的騎士 阿斯特拉姆 (雕鑽) 初期傷*微白邊 搜:DANE-JP047,149,1,2024-01-20 16:53:59,0,,
萬隆達* 遊戲王 亞英 RC04-AE031 上古妖精龍 (雕鑽) 初期傷*微白邊 搜:ANPR-JP040,99,1,2024-01-20 17:34:12,0,,
萬隆達* 遊戲王 亞英 RC04-AE015 次元吸引者 (雕鑽) 初期傷*微白邊 搜:SD44-JP012 EP19-,199,1,2024-01-20 15:57:54,0,,
萬隆達* 遊戲王 亞英 RC04-AE019 風靈媒師 薇因 (雕鑽) 初期傷*微白邊 搜:VJMP-JP173,199,1,2024-01-20 17:41:00,0,,
萬隆達* 遊戲王 亞英 RC04-AE036 掃興書呆魔術師 (雕鑽) 初期傷*微白邊 搜:LVAL-JP057,149,2,2024-01-20 17:31:37,0,,
萬隆達* 遊戲王 亞英 RC04-AE027 舊神 努茨 (雕鑽) 初期傷*微白邊 搜:EP15-JP033,149,1,2024-01-20 17:32:04,0,,
萬隆達* 遊戲王 亞英 RC04-AE049 解碼語者 火熱之魂 (雕鑽) 初期傷*微白邊 搜:LGB1-JP041,99,1,2024-01-20 16:52:59,1,1,2024-02-26 21:44:13
萬隆達* 遊戲王 亞英 RC04-AE024 妖眼的相劍師 (雕鑽) 初期傷*微白邊 搜:DAMA-JP009,99,1,2024-01-20 17:38:22,0,,
萬隆達* 遊戲王 亞英 RC04-AE037 鬼計惰天使 (雕鑽) 初期傷*微白邊 搜:NECH-JP090,49,1,2024-01-20 17:33:56,0,,
萬隆達* 遊戲王 亞英 RC04-AE032 虹光之宣告者 (雕鑽) 初期傷*微白邊 搜:NECH-JP052,69,1,2024-01-20 17:34:35,0,,
