商品名稱,價格,可販售數量,最後更新日期,購買人數,最後銷售數量,最後銷售時間
【Lizz小舖】 半人馬滋養師 Centaur Nurturer 火花之戰 WAR C 156 魔風 MTG,5,8,,0,,
【Lizz小舖】 殘酷祀徒 Grim Initiate 火花之戰 WAR C 130 魔風 MTG,5,16,2021-11-10 15:51:16,4,,近半年無銷售記錄
【Lizz小舖】 多美代的頓悟 Tamiyo's Epiphany 火花之戰 WAR C 071 魔風 MTG,5,8,,0,,
【Lizz小舖】MTG 火花之戰 WAR 永生煞神歐柯塔 God-Eternal Oketra,220,10,2022-11-09 22:37:15,9,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 攻襲尊殿 Storm the Citadel,5,8,2022-08-17 15:32:04,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 傑斯得勝 Jace's Triumph,5,24,2022-08-17 14:57:47,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 精英衛法師 Elite Guardmage,5,3,2020-03-23 22:37:23,10,,近半年無銷售記錄
【Lizz小舖】 回返自然 Return to Nature 火花之戰 WAR C 175 魔風 MTG,5,10,2020-08-24 21:54:14,2,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 揭帷娜爾施 Narset, Parter of Veils",50,8,2022-07-12 21:08:36,23,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 溫馨救贖 Heartwarming Redemption,5,4,2019-12-28 13:30:43,3,,近半年無銷售記錄
【Lizz小舖】 第二層 卡套 火花之戰 灯爭大戰 牌套 80入 日本製 窗花 花窗 旅法 日本製,450,16,2021-11-21 22:12:54,0,,
【Lizz小舖】MTG 火花之戰 WAR 暴君的輕蔑 Tyrant's Scorn,10,6,2020-03-23 22:22:00,17,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 單挑 Single Combat,15,12,2022-08-17 15:11:14,1,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 盾法師泰佑 Teyo, the Shieldmage",10,14,2022-05-31 22:29:48,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 燃亮信標 Ignite the Beacon,10,12,2023-09-22 15:35:20,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 戰亂拉尼卡 Ravnica at War,10,4,2020-02-26 01:45:24,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 阿耶尼的群伴 Ajani's Pridemate,10,8,2020-09-23 09:03:14,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 基定得勝 Gideon's Triumph,5,4,2019-04-17 16:24:11,0,,
【Lizz小舖】MTG 火花之戰 WAR 形體一新 Neoform,40,24,2023-05-14 14:44:51,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 感德亡靈 Grateful Apparition,5,4,2023-09-22 15:35:55,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 傳襲地帶 Emergence Zone,25,15,2023-08-10 20:53:16,6,1,2023-11-08 15:50:45
"【Lizz小舖】MTG 火花之戰 WAR 理時泰菲力 Teferi, Time Raveler",500,5,2022-03-27 17:25:14,16,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 復仇血領索霖 Sorin, Vengeful Bloodlord",40,12,2023-08-21 19:20:14,20,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 入侵城市 Invade the City,5,8,2019-12-16 12:51:19,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 安戈斯的狂憤 Angrath's Rampage,10,8,2020-10-11 13:23:08,12,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 巨怪喚師奇奧拉 Kiora, Behemoth Beckoner",45,16,2022-11-09 22:36:04,17,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 破壞魔鬼 Mayhem Devil,80,8,2022-12-10 10:35:57,11,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 多溫的否決 Dovin's Veto,100,12,2022-05-31 22:38:48,22,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 飛石暴娜希麗 Nahiri, Storm of Stone",5,3,2020-05-09 10:39:58,6,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 暴行四竄 Widespread Brutality,10,4,2020-03-12 21:26:44,0,,
【Lizz小舖】MTG 火花之戰 WAR 時間抹除 Time Wipe,10,12,2022-08-17 15:15:25,11,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 震懼軍屠夫 Dreadhorde Butcher,20,12,2022-05-31 22:24:45,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 躍空人魚 Merfolk Skydiver,5,16,2022-05-31 22:46:15,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 地脈遊掠獸 Leyline Prowler,10,16,2021-08-27 18:38:32,8,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 狼友托西密 Tolsimir, Friend to Wolves",10,12,2022-05-31 22:44:55,12,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 命絕機生 Deathsprout,15,12,2024-04-17 20:16:52,4,3,2024-04-14 22:50:34
【Lizz小舖】MTG 火花之戰 WAR 薇薇安的方舟神弓 Vivien's Arkbow,10,4,2020-01-31 19:54:31,14,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 戴卡林巫妖司陀娃 Storrev, Devkarin Lich",10,12,2022-05-31 22:45:30,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 角色反轉 Role Reversal,10,4,2020-05-22 16:51:39,0,,
【Lizz小舖】MTG 火花之戰 WAR 法老神塑像 God-Pharaoh's Statue,10,8,2024-03-19 16:10:09,7,1,2024-03-18 23:02:26
【Lizz小舖】MTG 火花之戰 WAR 金光督軍 Gleaming Overseer,5,8,2019-08-29 16:11:35,2,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 混沌船長安戈斯 Angrath, Captain of Chaos",5,15,2022-05-31 22:44:11,3,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 群落顯貴瓦絲卡 Vraska, Swarm's Eminence",10,14,2022-05-31 22:41:33,4,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 暴君抗爭人撒姆特 Samut, Tyrant Smasher",10,14,2022-05-31 22:40:47,6,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 第十區軍團兵 Tenth District Legionnaire,5,15,2022-06-30 19:30:39,8,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 亡者災禍卡婭 Kaya, Bane of the Dead",5,7,2020-08-23 16:56:13,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 殘酷主祭 Cruel Celebrant,30,22,2023-08-21 19:52:47,9,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 至善阿耶尼 Ajani, the Greathearted",40,12,2022-05-31 22:14:00,6,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 跨時空信標 Interplanar Beacon,5,8,2020-03-17 10:34:40,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 洞察璧合 Bond of Insight,5,8,2019-12-09 23:00:01,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 破箝薩坎 Sarkhan the Masterless,20,12,2022-05-31 22:11:42,8,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 華特莉的迅猛龍 Huatli's Raptor,5,8,2019-09-14 11:29:18,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 占魂師 Soul Diviner,10,12,2023-04-09 13:16:54,2,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 至尊咒 The Elderspell,20,12,2022-05-31 22:08:34,13,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 終謀始動 Commence the Endgame,10,4,2020-01-12 21:28:52,3,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 炎靈皿 Firemind Vessel,10,22,2022-08-17 15:18:57,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 烏鋒基定 Gideon Blackblade,70,4,2023-01-25 17:26:11,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 守律璧合 Bond of Discipline,5,4,,0,,
"【Lizz小舖】MTG 火花之戰 WAR 龍尊尼可波拉斯 Nicol Bolas, Dragon-God",270,3,2022-05-15 20:22:57,14,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 幻滅終時 Finale of Devastation,1000,8,2022-03-27 16:43:23,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 震懼軍雙子 Dreadhorde Twins,5,8,2019-07-13 03:26:12,1,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 永生煞神降臨 Enter the God-Eternals,10,12,2022-05-31 22:25:15,27,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 菁粹多頭龍 Bioessence Hydra,10,4,2019-08-19 17:17:12,3,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 預示終時 Finale of Revelation,150~160,9,2023-01-25 17:47:28,9,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 爆裂地帶 Blast Zone,90,8,2022-06-30 19:03:59,15,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 戰爭傷亡 Casualties of War,25,12,2023-04-09 13:20:37,17,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 熱情璧合 Bond of Passion,5,4,,0,,
【Lizz小舖】MTG 火花之戰 WAR 靜航潛水艦 Silent Submersible,10,10,2022-03-27 16:44:11,2,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 娜爾施的挪移術 Narset's Reversal,200~220,12,2023-04-13 22:52:18,15,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 烈陽之心華特莉 Huatli, the Sun's Heart",10,15,2022-05-26 20:39:19,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 復生璧合 Bond of Revival,5,8,2020-05-09 10:39:25,1,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 裂夢師安梭苛 Ashiok, Dream Render",50,4,2022-06-14 16:26:24,29,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 茁壯璧合 Bond of Flourishing,5,6,2019-10-22 11:54:26,9,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 齊心誓言 Pledge of Unity,10,16,2022-11-09 22:38:50,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 永恆終時 Finale of Eternity,50,12,2022-05-15 20:18:50,6,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 屈從邪惡 Deliver Unto Evil,15,4,2020-02-26 01:47:27,3,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 寰錄多美代 Tamiyo, Collector of Tales",20,11,2022-05-31 22:27:44,13,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 榮光終時 Finale of Glory,110,6,2022-11-09 22:36:46,11,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 卡婭的誓約 Oath of Kaya,20,12,2022-05-31 22:26:29,17,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 無上綜源羅列茨 Roalesk, Apex Hybrid",30,12,2022-05-31 22:03:13,5,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 復耀飛羽 Feather, the Redeemed",40,12,2022-05-31 22:25:50,6,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 烈陽炙焰 Solar Blaze,10,4,2019-12-21 18:18:06,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 新生尼米捷 Niv-Mizzet Reborn,70,8,2022-09-19 18:38:21,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 旭刃天使 Sunblade Angel,5,2,2020-08-26 16:08:30,1,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 召雷拉爾 Ral, Storm Conduit",40,12,2022-05-31 22:27:01,19,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 茜卓得勝 Chandra's Triumph,5,4,2019-07-11 02:57:38,2,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 幻日二號 Parhelion II,50,12,2022-05-31 22:04:53,2,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 非凡神器師莎希莉 Saheeli, Sublime Artificer",10~15,16,2023-10-26 16:09:50,9,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 生體龍捲 Living Twister,10,4,2019-08-15 17:45:53,0,,
【Lizz小舖】MTG 火花之戰 WAR 永生煞神刻法涅 God-Eternal Kefnet,120~130,9,2022-05-15 20:17:48,16,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 永生煞神芭圖 God-Eternal Bontu,110~120,9,2022-05-15 20:19:42,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 多密的伏擊 Domri's Ambush,5,12,2023-08-06 19:44:48,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 火花替身 Spark Double,220~240,9,2022-05-31 22:06:36,5,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 波拉斯逆豎多密 Domri, Anarch of Bolas",40,12,2023-08-06 19:44:21,15,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 莫測導師克蜜娜 Kasmina, Enigmatic Mentor",10,14,2022-05-31 22:30:34,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 卡恩關堡 Karn's Bastion,90,8,2022-05-31 22:29:00,11,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 蠻野豬神衣哈格 Ilharg, the Raze-Boar",200,4,2021-06-05 16:00:51,11,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 咒擊偏折 Bolt Bend,60,8,2024-05-06 18:49:42,2,2,2024-05-06 12:10:19
"【Lizz小舖】MTG 火花之戰 WAR 焰法明範雅亞 Jaya, Venerated Firemage",10,14,2022-05-31 22:34:52,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 拉爾的爆發 Ral's Outburst,10,8,2020-10-11 13:25:47,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 永生煞神羅納斯 God-Eternal Rhonas,190~200,10,2022-05-15 20:22:28,18,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 動員城區 Mobilized District,10,12,2022-02-24 23:13:09,5,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 炎技茜卓 Chandra, Fire Artisan",25,4,2020-07-11 01:50:30,17,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 蠍毒維齊爾 Vizier of the Scorpion,5,16,2022-05-31 22:33:18,1,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 撼世妮莎 Nissa, Who Shakes the World",130,8,2023-10-11 17:43:31,23,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 操控之手多溫 Dovin, Hand of Control",10,18,2022-05-26 20:31:34,15,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 萬創卡恩 Karn, the Great Creator",600,6,2023-08-27 14:55:03,22,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 妮莎得勝 Nissa's Triumph,5,7,2019-08-16 22:34:59,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 允諾終時 Finale of Promise,70,9,2022-05-15 20:21:15,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 天堂德魯伊 Paradise Druid,10,4,2022-05-31 22:36:11,26,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 好鬥巨魔 Challenger Troll,5,4,2019-05-04 15:23:29,0,,
【Lizz小舖】MTG 火花之戰 WAR 震懼軍奧術師 Dreadhorde Arcanist,80,8,2022-05-31 22:09:32,10,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 永生工頭 Eternal Taskmaster,5,7,2019-08-09 02:47:48,6,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 荒野鬥士薇薇安 Vivien, Champion of the Wil",55,8,2021-08-25 15:12:40,18,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 量束聯能師 Flux Channeler,30,16,2023-09-17 17:21:09,3,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 拉佐特石護體 Lazotep Plating,10,23,2022-05-31 22:47:54,5,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 離群影法師達夫黎 Davriel, Rogue Shadowmage",10,12,2022-04-12 20:38:07,12,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 錫街頭目克崙可 Krenko, Tin Street Kingpin",40,12,2022-05-31 22:10:00,11,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 吞噬地獄獸 Devouring Hellion,5,8,2019-09-14 11:22:23,1,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 博奧傑斯 Jace, Wielder of Mysteries",170,8,2024-03-19 16:10:58,18,1,2024-03-18 23:02:26
"【Lizz小舖】MTG 火花之戰 WAR 放浪煽動者提勃 Tibalt, Rakish Instigator",10,5,2020-02-26 01:56:15,14,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 飄萍 The Wanderer,10,4,2019-12-16 13:11:20,9,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 波拉斯尊殿 Bolas's Citadel,200~220,12,2023-01-25 17:56:18,11,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 震懼軍鬥士內赫布 Neheb, Dreadhorde Champion",20,12,2022-05-31 22:11:00,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 波拉斯卜算師 Augur of Bolas,5,4,2019-10-13 16:29:31,3,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 忿恨歐尼希茲 Ob Nixilis, the Hate-Twisted",10,14,2022-05-31 22:32:21,5,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 塑野師姜暘谷 Jiang Yanggu, Wildcrafter",10,16,2022-05-26 20:36:24,9,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 忠誠旅伴默武 Mowu, Loyal Companion",10,8,2020-10-15 17:02:10,7,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 殺戮女郎 Massacre Girl,10,12,2022-05-31 22:47:49,14,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 迷途的夫畢佐 Fblthp, the Lost",10,12,2022-05-31 22:47:56,5,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 獨眼巨人電流術士 Cyclops Electromancer,5,4,2019-05-04 15:27:42,0,,
【Lizz小舖】MTG 火花之戰 WAR 米捷戰車 Mizzium Tank,10,4,2019-06-13 00:24:32,3,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 救援史芬斯 Rescuer Sphinx,5,4,2019-05-04 15:33:29,0,,
【Lizz小舖】MTG 火花之戰 WAR 提勃的躁鬼 Tibalt's Rager,5,8,2019-07-22 17:24:06,2,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 演化智者 Evolution Sage,30,24,2023-10-17 21:32:47,6,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 傑出倡議人托米克 Tomik, Distinguished Advok",10,8,2023-04-06 19:36:17,13,,近半年無銷售記錄
"【Lizz小舖】MTG 火花之戰 WAR 狼群之聲雅琳 Arlinn, Voice of the Pack",10,16,2022-05-31 22:34:57,4,,近半年無銷售記錄
【Lizz小舖】MTG 火花之戰 WAR 震懼軍入侵 Dreadhorde Invasion,15,4,2024-02-17 15:53:43,16,1,2024-02-17 12:45:37
"【Lizz小舖】MTG 火花之戰 WAR 震懼軍將莉蓮娜 Liliana, Dreadhorde General",700~750,11,2022-05-31 22:01:50,14,,近半年無銷售記錄
